employer,industry
FRIENDLY CONSULTANTS INC,IT
GROUPON INC,IT
MUFG UNION BANK NA,Financial Services
ARIZONA STATE UNIVERSITY,University
INFINITE COMPUTER SOLUTIONS INC,IT
TEXAS A&M UNIVERSITY,University
DANA FARBER CANCER INSTITUTE,Healthcare
ECLINICALWORKS LLC,Healthcare
GRANDISON MANAGEMENT INC,Healthcare
IQVIA INC,IT
SCHLUMBERGER TECHNOLOGY CORP,Energy
VERIZON DATA SERVICES LLC,Communications
INDEED INC,IT
"SAMSUNG RESEARCH AMERICA, INC.",IT
THE TRUSTEES OF PRINCETON UNIVERSI,University
WESTERN DIGITAL TECHNOLOGIES INC,IT
BROADCOM CORPORATION,Semiconductor
LUSSOTECH LLC,IT
UNIV OF IL AT URBANA CHAMPAIGN,University
CATERPILLAR INC,Manufacturing
STARBUCKS COFFEE COMPANY,Restaurant
UNIVERSITY OF WASHINGTON,University
KLA TENCOR CORPORATION,Semiconductor
STAPLES INC,Retail
ADECCO GROUP NA MODIS INC,Consulting
CVS PHARMACY INC,Healthcare
DATA INC,Consulting
DB USA CORE CORPORATION,Financial Services
ADS ALLIANCE DATA SYSTEMS INC,Marketing
COOLSOFT LLC,IT
ARICENT TECHNOLOGIES LTD,IT
SAMSUNG SEMICONDUCTOR INC,Semiconductor
TIBCO SOFTWARE INC,IT
FACEBOOK INC,IT
AVANI SYSTEMS INC,IT
ANTRA INC,IT
LATENTVIEW ANALYTICS CORPORATION,Consulting
BAIN & CO INC,Consulting
CLOUD BIG DATA TECHNOLOGIES LLC,IT
XTRACIT INC,IT
VSION TECHNOLOGIES INC,IT
ANIRA SOLUTIONS INC,Consulting
INFISYSTEMS LLC,IT
CONSULTADD INC,IT
JNIT TECHNOLOGIES INC,IT
SQA CONCEPTS INC,IT
FRACTAL ANALYTICS INC,IT
INFOBIZ SYSTEMS LLC,IT
DENKEN SOLUTIONS INC,IT
KELLY SERVICES INC,Consulting
INDIANA UNIVERSITY,University
RIVERVIEW LLP,Agriculture
SOLOMONS INTERNATIONAL LLC,IT
VINTECH SOLUTIONS INC,IT
BANK OF CHINA,Financial Services
DEUTSCHE BANK SECURITIES INC,Financial Services
GVA INFOTECH INC,IT
ALTIMETRIK CORP,IT
BATTELLE MEMORIAL INSTITUTE,Research
HUGHES NETWORK SYSTEMS LLC,Communications
NCR CORPORATION,IT
VYZER SOLUTIONS INC,IT
ARKA TECHNOLOGIES INC,IT
ELECTRONIC ARTS INC,IT
REMOTE TIGER INC,IT
UNIVERSITY OF KENTUCKY,University
